3244533;Конструктор LEGO City Исследовательская база 60265;5499 RUB;МСК, СПБ;3339 RUB;https://www.detmir.ru/product/index/id/3244533/
3597029;Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва 76192;8499 RUB;МСК, СПБ;5369 RUB;https://www.detmir.ru/product/index/id/3597029/
3597018;Конструктор LEGO Ninjago Водный дракон 71754;6499 RUB;МСК, СПБ;4089 RUB;https://www.detmir.ru/product/index/id/3597018/
3244517;Конструктор LEGO Friends Модный бутик Эммы 41427;2599 RUB;МСК, СПБ;1609 RUB;https://www.detmir.ru/product/index/id/3244517/
3142077;Конструктор LEGO City Fire Пожар в бургер-кафе 60214;2499 RUB;МСК, СПБ;1619 RUB;https://www.detmir.ru/product/index/id/3142077/
3405620;Конструктор LEGO Ninjago Мотоцикл Ллойда для джунглей 71745;1699 RUB;МСК, СПБ;1099 RUB;https://www.detmir.ru/product/index/id/3405620/
3226651;Конструктор LEGO City Police Полицейский вертолетный транспорт 60244;3799 RUB;МСК, СПБ;2379 RUB;https://www.detmir.ru/product/index/id/3226651/
2826181;Конструктор Attivio Детальки 12 деталей;;МСК, СПБ;599 RUB;https://www.detmir.ru/product/index/id/2826181/
3405646;Конструктор LEGO Technic Гоночный самолёт 42117;899 RUB;МСК, СПБ;699 RUB;https://www.detmir.ru/product/index/id/3405646/
3244579;Конструктор LEGO Super Mario Битва в замке Боузера 71369;8999 RUB;МСК, СПБ;5469 RUB;https://www.detmir.ru/product/index/id/3244579/
3405525;Конструктор LEGO DUPLO Classic Шкатулка-сердечко 10909;1599 RUB;МСК, СПБ;1299 RUB;https://www.detmir.ru/product/index/id/3405525/
3405649;Конструктор LEGO Technic Квадроцикл 42124;12499 RUB;МСК, СПБ;7809 RUB;https://www.detmir.ru/product/index/id/3405649/
3244511;Конструктор LEGO Friends Пляжный домик 41428;4499 RUB;МСК, СПБ;2789 RUB;https://www.detmir.ru/product/index/id/3244511/
3405624;Конструктор LEGO Ninjago Турнир стихий 71735;2599 RUB;МСК, СПБ;1819 RUB;https://www.detmir.ru/product/index/id/3405624/
